pair,pixel,fourier,curvature,centroid,texture,total
0.right - 15.left,0.2622549,0.29122634644859946,0.9858997085041656,0.21912510707153598,0.3407147508760944,0.307023767216386
0.bottom - 15.top,0.30030343,0.4041095029013903,0.9065319920956676,0.34926976203575083,0.3400948325497209,0.3474229158468283
1.right - 0.left,0.09701213,0.2512129252681366,0.9191739904252921,0.19952404796146977,0.24609809093796972,0.1735744917539647
1.bottom - 0.top,0.2573296,0.09095243216097497,1.0,0.28242679294122286,0.38971585389893354,0.2923188883916018
1.right - 2.left,0.21839403,0.1359756491325402,1.0,0.38327568238404675,0.22757303311564497,0.2583944632056084
1.bottom - 2.top,0.26568627,0.42468727588532373,1.0,0.3482319030083587,0.3156486949228458,0.3274255867138475
1.right - 3.left,0.07857143,0.1665633490291285,0.8664808222362193,0.24159325200328793,0.3312575504621855,0.16018579336308356
1.bottom - 3.top,0.20121382,0.4089360126778668,1.0,0.5622411274801014,0.3414956975837278,0.29400490710864535
1.right - 4.left,0.29775912,0.2663883844873974,0.8289439327329748,0.3796549396145619,0.2403030671436219,0.31953046678741387
1.bottom - 4.top,0.29003268,0.29609165854420877,1.0,0.2775109426086931,0.28076939402981244,0.32458453473017534
1.right - 5.left,0.2676704,0.45343913682390935,1.0,0.3500835405555542,0.33088950739846174,0.3333063135628612
1.bottom - 5.top,0.15499534,0.30722079849025874,1.0,0.39342278788983237,0.344338719832488,0.24332382423658147
1.right - 6.left,0.2827731,0.26433650683838766,0.9657199779370043,0.36038276176990847,0.24709681754029497,0.315389638565937
1.bottom - 6.top,0.26108775,0.4797428756251532,1.0,0.4688362103368825,0.3831108373203529,0.34248859765059
1.right - 7.left,0.24169001,0.2875343414533795,0.8928781588479664,0.40012139288574816,0.40195391857446505,0.3027818045116733
1.bottom - 7.top,0.2205649,0.31084938092103537,1.0,0.39664178401741274,0.3874033026655707,0.29405278883966735
1.right - 8.left,0.18020542,0.2298944023580889,0.8763352165331073,0.4785624848876217,0.39993501849151425,0.25687162538807534
1.bottom - 8.top,0.17803456,0.2758052941878252,1.0,0.4933483306618835,0.2570267622316894,0.2525748148897368
1.right - 9.left,0.14845939,0.16818859648039772,0.840129568909392,0.33627880984961456,0.2430093959116788,0.20386178806098137
1.bottom - 9.top,0.22999534,0.21095457478106236,1.0,0.3305766836777265,0.3159904605853574,0.28022007281650607
1.right - 10.left,0.14913632,0.3096746479775685,0.9483746047704515,0.3749103979785364,0.3343646947729682,0.23496360377171022
1.bottom - 10.top,0.21475257,0.2612778344742726,0.9654747239100432,0.4030282788333912,0.3453980805873458,0.2794195449699403
1.right - 11.left,0.29733893,0.15881900609631452,0.9698201728498116,0.3845028195803122,0.2524160109677896,0.3169768953140464
1.bottom - 11.top,0.30382818,0.28294512641957353,1.0,0.35546472235631543,0.3214609034967374,0.34089356797507037
1.right - 12.left,0.31083098,0.5395846834850342,0.8840986061716426,0.3867615560683497,0.2714198559534034,0.362225151413601
1.bottom - 12.top,0.2995098,0.22599572299951418,1.0,0.3590542383902885,0.36220278671887973,0.33642941239487095
